account_id,account_number,owner_person_id,bank,account_type
A-0001,665294836639,P-0001,Kotak Mahindra Bank,Salary
A-0002,238941905237,P-0002,Bank of Baroda,Savings
A-0003,722559246621,P-0003,IDFC First Bank,Savings
A-0004,212554756629,P-0003,Axis Bank,Salary
A-0005,135388676342,P-0004,ICICI Bank,Salary
A-0006,838290403261,P-0005,IDFC First Bank,Current
A-0007,745687751324,P-0006,HDFC Bank,Current
A-0008,805416851851,P-0007,Canara Bank,Current
A-0009,148972851068,P-0008,Axis Bank,Savings
A-0010,85675244061,P-0009,Axis Bank,Current
A-0011,372712762611,P-0010,Canara Bank,Salary
A-0012,771522077626,P-0010,Canara Bank,Savings
A-0013,357066427753,P-0011,Kotak Mahindra Bank,Savings
A-0014,281928186904,P-0012,Axis Bank,Salary
A-0015,934606299457,P-0013,Bank of Baroda,Savings
A-0016,816077658983,P-0013,Bank of Baroda,Current
A-0017,402754821861,P-0014,Punjab National Bank,Current
A-0018,128333529462,P-0014,ICICI Bank,Salary
A-0019,318558151403,P-0015,ICICI Bank,Salary
A-0020,814289468572,P-0016,HDFC Bank,Salary
A-0021,31011431776,P-0017,IDFC First Bank,Salary
A-0022,649145432327,P-0018,Canara Bank,Current
A-0023,52547249899,P-0019,IDFC First Bank,Current
A-0024,863212038679,P-0020,ICICI Bank,Current
A-0025,256498903441,P-0020,Canara Bank,Salary
A-0026,517381156553,P-0021,IDFC First Bank,Salary
A-0027,411136137817,P-0022,IDFC First Bank,Savings
A-0028,764256541226,P-0023,ICICI Bank,Salary
A-0029,183715194068,P-0024,ICICI Bank,Salary
A-0030,816319635860,P-0025,Yes Bank,Current
A-0031,844163476358,P-0026,Yes Bank,Savings
A-0032,414862330997,P-0027,Axis Bank,Savings
A-0033,408536288004,P-0028,Kotak Mahindra Bank,Current
A-0034,61030877196,P-0029,State Bank of India,Salary
A-0035,123061024543,P-0029,IDFC First Bank,Salary
A-0036,825334568012,P-0030,Punjab National Bank,Salary
A-0037,728877278965,P-0031,Kotak Mahindra Bank,Current
A-0038,287096957188,P-0032,Kotak Mahindra Bank,Savings
A-0039,909163850247,P-0033,Bank of Baroda,Current
A-0040,541685415257,P-0033,Canara Bank,Savings
A-0041,192277976971,P-0034,Axis Bank,Savings
A-0042,174117216288,P-0035,ICICI Bank,Savings
A-0043,798564672566,P-0036,HDFC Bank,Salary
A-0044,900838982470,P-0037,Bank of Baroda,Salary
A-0045,750802473168,P-0038,Yes Bank,Current
A-0046,188631086748,P-0039,Kotak Mahindra Bank,Savings
A-0047,147624256990,P-0040,Canara Bank,Salary
A-0048,702068370016,P-0041,IDFC First Bank,Savings
A-0049,190628766680,P-0042,Punjab National Bank,Savings
A-0050,712500332998,P-0043,State Bank of India,Salary
A-0051,738976098909,P-0043,Punjab National Bank,Savings
A-0052,677649244610,P-0044,Yes Bank,Current
A-0053,921475227141,P-0045,Kotak Mahindra Bank,Salary
A-0054,653362977122,P-0046,ICICI Bank,Salary
A-0055,805289308987,P-0047,Bank of Baroda,Current
A-0056,423303903106,P-0048,Kotak Mahindra Bank,Savings
A-0057,229114468059,P-0049,IDFC First Bank,Salary
A-0058,176758608650,P-0050,Canara Bank,Savings
A-0059,530453065294,P-0050,Canara Bank,Salary
A-0060,872763378074,P-0051,IDFC First Bank,Salary
A-0061,538681225263,P-0052,ICICI Bank,Salary
A-0062,756357385326,P-0053,Kotak Mahindra Bank,Salary
A-0063,969368466047,P-0054,State Bank of India,Salary
A-0064,480426979874,P-0054,Axis Bank,Current
A-0065,655750556928,P-0055,Canara Bank,Savings
A-0066,157856351106,P-0055,Punjab National Bank,Current
A-0067,954506624662,P-0056,HDFC Bank,Current
A-0068,217265694161,P-0057,State Bank of India,Salary
A-0069,880777327663,P-0057,State Bank of India,Salary
A-0070,16527327452,P-0058,Kotak Mahindra Bank,Salary
A-0071,893422231306,P-0059,Bank of Baroda,Current
A-0072,177961495990,P-0060,Kotak Mahindra Bank,Salary
A-0073,947425157889,P-0061,IDFC First Bank,Current
A-0074,313275718221,P-0062,Kotak Mahindra Bank,Savings
A-0075,871364731894,P-0063,IDFC First Bank,Current
A-0076,414494520664,P-0063,IDFC First Bank,Salary
A-0077,642677257483,P-0064,Bank of Baroda,Salary
A-0078,819163805916,P-0064,ICICI Bank,Salary
A-0079,262319940674,P-0065,Yes Bank,Salary
A-0080,242358927381,P-0066,IDFC First Bank,Current
A-0081,614735062017,P-0067,Canara Bank,Salary
A-0082,435892126813,P-0068,State Bank of India,Savings
A-0083,489319404394,P-0069,HDFC Bank,Savings
A-0084,414679421790,P-0070,HDFC Bank,Salary
A-0085,434018476107,P-0071,Kotak Mahindra Bank,Salary
A-0086,72695667264,P-0072,ICICI Bank,Salary
A-0087,20475305195,P-0073,Axis Bank,Salary
A-0088,894465872845,P-0073,IDFC First Bank,Current
A-0089,869137810255,P-0074,Canara Bank,Salary
A-0090,197325814614,P-0075,State Bank of India,Current
A-0091,12813285701,P-0076,ICICI Bank,Savings
A-0092,451435333701,P-0077,Bank of Baroda,Salary
A-0093,655986493050,P-0078,Axis Bank,Salary
A-0094,817519850359,P-0078,HDFC Bank,Savings
A-0095,923651808751,P-0079,IDFC First Bank,Salary
A-0096,314150320464,P-0080,Axis Bank,Salary
A-0097,643095172337,P-0081,State Bank of India,Current
A-0098,565799411087,P-0082,HDFC Bank,Salary
A-0099,334283642331,P-0083,Bank of Baroda,Savings
A-0100,602173396446,P-0084,Canara Bank,Current
A-0101,426466036992,P-0085,Canara Bank,Current
A-0102,279594956276,P-0085,Bank of Baroda,Current
A-0103,658095634908,P-0086,State Bank of India,Current
A-0104,293967210094,P-0086,HDFC Bank,Current
A-0105,781706465084,P-0087,Axis Bank,Current
A-0106,400650664621,P-0088,IDFC First Bank,Salary
A-0107,778840906760,P-0088,Punjab National Bank,Savings
A-0108,448486136671,P-0089,Bank of Baroda,Savings
A-0109,355644173785,P-0090,Bank of Baroda,Savings
A-0110,760529026217,P-0091,Axis Bank,Current
A-0111,818462573552,P-0092,Axis Bank,Current
A-0112,230027770944,P-0093,Axis Bank,Salary
A-0113,865368487767,P-0094,HDFC Bank,Savings
A-0114,554015264013,P-0095,Canara Bank,Savings
A-0115,541923155192,P-0096,Bank of Baroda,Salary
A-0116,995662096578,P-0097,Canara Bank,Current
A-0117,317137980276,P-0098,Kotak Mahindra Bank,Savings
A-0118,644582145502,P-0098,ICICI Bank,Savings
A-0119,46682319027,P-0099,IDFC First Bank,Current
A-0120,956583806407,P-0099,ICICI Bank,Current
A-0121,579934620648,P-0100,Yes Bank,Current
A-0122,748785141336,P-0101,Axis Bank,Current
A-0123,406534729069,P-0102,Canara Bank,Current
A-0124,300118870701,P-0103,Axis Bank,Current
A-0125,684131739515,P-0104,Bank of Baroda,Current
A-0126,556250749815,P-0104,Kotak Mahindra Bank,Savings
A-0127,837643258634,P-0105,Bank of Baroda,Current
A-0128,451755966805,P-0105,Punjab National Bank,Current
A-0129,154188106833,P-0106,Canara Bank,Salary
A-0130,120871104700,P-0107,Punjab National Bank,Savings
A-0131,430289645735,P-0108,Axis Bank,Savings
A-0132,176380771054,P-0108,Yes Bank,Savings
A-0133,557271264086,P-0109,ICICI Bank,Salary
A-0134,545948923988,P-0110,Punjab National Bank,Current
A-0135,119085305563,P-0111,ICICI Bank,Savings
A-0136,292668196249,P-0112,Yes Bank,Salary
A-0137,827975897966,P-0113,Bank of Baroda,Current
A-0138,625727828319,P-0114,IDFC First Bank,Current
A-0139,461056758184,P-0115,HDFC Bank,Current
A-0140,643837760526,P-0116,IDFC First Bank,Savings
A-0141,368007467288,P-0117,IDFC First Bank,Current
A-0142,99720288214,P-0118,Kotak Mahindra Bank,Salary
A-0143,518036750317,P-0118,ICICI Bank,Savings
A-0144,703301422663,P-0119,Canara Bank,Salary
A-0145,96205766415,P-0120,ICICI Bank,Current
A-0146,354577572262,P-0120,Bank of Baroda,Salary
A-0147,305109064711,P-0121,Canara Bank,Salary
A-0148,986122577892,P-0122,Yes Bank,Current
A-0149,657457281097,P-0122,IDFC First Bank,Current
A-0150,212582088715,P-0123,State Bank of India,Savings
A-0151,270823796483,P-0123,Punjab National Bank,Salary
A-0152,191293024100,P-0124,Kotak Mahindra Bank,Savings
A-0153,533464991820,P-0125,IDFC First Bank,Savings
A-0154,447102831965,P-0126,IDFC First Bank,Savings
A-0155,689732056668,P-0127,ICICI Bank,Savings
A-0156,260436840020,P-0128,Axis Bank,Salary
A-0157,496551827970,P-0128,ICICI Bank,Savings
A-0158,44482451158,P-0129,Bank of Baroda,Current
A-0159,606445966442,P-0130,Punjab National Bank,Salary
A-0160,157939482527,P-0130,IDFC First Bank,Savings
A-0161,833049082002,P-0131,Canara Bank,Current
A-0162,712327911987,P-0131,IDFC First Bank,Current
A-0163,604774165062,P-0132,Axis Bank,Savings
A-0164,410754242317,P-0133,Kotak Mahindra Bank,Current
A-0165,341381283524,P-0133,State Bank of India,Savings
A-0166,325009587088,P-0134,Yes Bank,Salary
A-0167,537230740659,P-0135,Punjab National Bank,Savings
A-0168,331254812530,P-0136,Canara Bank,Savings
A-0169,17717057182,P-0136,IDFC First Bank,Current
A-0170,978136033670,P-0137,IDFC First Bank,Current
A-0171,187166954804,P-0138,Kotak Mahindra Bank,Current
A-0172,298710246095,P-0138,HDFC Bank,Current
A-0173,849737446040,P-0139,Canara Bank,Salary
A-0174,724187248898,P-0140,IDFC First Bank,Current
A-0175,947110327046,P-0141,HDFC Bank,Savings
