person_id,name,age,gender,address,occupation,criminal_history_flag,risk_score
P-0001,Advik Maharaj,19,Male,"181, Sami, Ludhiana-338908",Travel Agent,1,0.132
P-0002,Shaurya Kannan,55,Male,"H.No. 265, Dugal Road, Naihati-161559",Trader,1,0.086
P-0003,Anya Sharaf,32,Female,"H.No. 849, Handa Path, Ranchi 413164",Government Employee,0,0.531
P-0004,Rajata Gaba,24,Female,"419, Walla Street, Ujjain 648350",Software Engineer,0,0.287
P-0005,Anamika Mutti,52,Female,"H.No. 395, Tata Ganj, Berhampore-423884",Software Engineer,0,0.151
P-0006,Sudiksha Pathak,54,Female,"71/01, Dutta Street, Kavali-669784",Bank Clerk,0,0.086
P-0007,Dakshesh Yadav,24,Male,"H.No. 462, Aggarwal Chowk, Orai 814893",Trader,1,0.397
P-0008,Ridhi Edwin,62,Female,"01, Mohanty Path, Howrah 911718",Businessman,0,0.08
P-0009,Eesha Soman,42,Female,"96/38, Muni Ganj, Dindigul-871331",Unemployed,0,0.301
P-0010,Advaith Karpe,32,Male,"H.No. 031, Narayanan Nagar, Kottayam-473829",Contractor,1,0.284
P-0011,Keya Solanki,31,Female,"H.No. 165, Roy Marg, Meerut-065133",Chartered Accountant,0,0.09
P-0012,Vanya Dey,55,Female,"H.No. 73, Savant Zila, Dhanbad-132677",Trader,0,0.406
P-0013,Sai Bhargava,42,Male,"H.No. 647, Sampath Road, Bhatpara-430980",Trader,0,0.257
P-0014,Ayush Bedi,61,Male,"H.No. 812, Bir Zila, Sambhal-939909",Businessman,0,0.308
P-0015,Ubika Virk,18,Female,"534, Deep Marg, Berhampore 107991",Travel Agent,0,0.269
P-0016,Jalsa Toor,58,Female,"H.No. 13, Mane Path, Bahraich 980841",Farmer,0,0.124
P-0017,Kevin D’Alia,56,Male,"H.No. 49, Oza Ganj, Bilaspur 401640",Real Estate Agent,0,0.151
P-0018,Ojas De,23,Male,"78/680, Borra Zila, Bongaigaon 598262",Travel Agent,0,0.057
P-0019,Nikita Patla,53,Female,"315, Ray Circle, Patiala 260256",Auto Driver,1,0.119
P-0020,Lila Dutta,43,Female,"H.No. 733, Palla Chowk, Ambattur 036541",Chartered Accountant,0,0.402
P-0021,Pushti Upadhyay,19,Female,"H.No. 142, Lanka, Moradabad-556981",Student,0,0.268
P-0022,Girish Kumar,64,Male,"H.No. 883, Sankar Path, Bathinda 148465",Businessman,0,0.331
P-0023,Manbir Datta,24,Male,"62/994, Acharya Marg, Baranagar-699577",Chartered Accountant,0,0.194
P-0024,Hredhaan Vaidya,21,Male,"14/895, Keer Zila, Kamarhati-200379",Trader,0,0.242
P-0025,Vasatika Sachdeva,33,Female,"63, Ahluwalia Street, Khandwa-287083",Contractor,0,0.247
P-0026,Vedant Deol,23,Male,"98, Sehgal Marg, Fatehpur-434873",Businessman,0,0.172
P-0027,Thomas Brahmbhatt,28,Male,"H.No. 55, Buch Circle, Saharanpur 623166",Trader,1,0.167
P-0028,Vidhi Sagar,27,Female,"69, Rai Nagar, Chennai 466889",Bank Clerk,1,0.529
P-0029,Yagnesh Kanda,21,Male,"06, Ravel Path, Bhind 980699",Farmer,1,0.118
P-0030,Benjamin Sangha,54,Male,"046, Kakar Path, Khammam-646417",Bank Clerk,0,0.43
P-0031,Ati Palla,33,Female,"00/330, Dua, Cuttack-193745",Unemployed,0,0.439
P-0032,Dakshesh Gade,18,Male,"04/96, Issac Marg, Guntakal 149190",Government Employee,0,0.306
P-0033,Tanish Prabhakar,40,Male,"H.No. 671, Pathak Marg, Jamnagar 284987",Businessman,1,0.185
P-0034,Urmi Loyal,57,Female,"H.No. 473, Raghavan Chowk, Bhopal 527354",Mobile Shop Owner,0,0.031
P-0035,Logan Majumdar,34,Male,"H.No. 367, Khosla Circle, Pallavaram 014363",Software Engineer,0,0.224
P-0036,Raksha Solanki,50,Female,"85/574, Krishnamurthy Road, Jamshedpur 518233",Government Employee,1,0.605
P-0037,Lakshit Vohra,58,Male,"435, Mittal Street, Deoghar 400842",Unemployed,1,0.244
P-0038,Charan Arora,52,Male,"75, Behl Street, Morena 167190",Shopkeeper,0,0.479
P-0039,Falan Modi,40,Male,"H.No. 869, Kara, Hospet 496499",Bank Clerk,0,0.355
P-0040,Chandran Johal,33,Male,"12/328, Dugar Zila, Alappuzha-974034",Contractor,1,0.124
P-0041,Vasana Bobal,60,Female,"93/618, Dixit Ganj, Ajmer-024994",Contractor,0,0.137
P-0042,David Sidhu,48,Male,"H.No. 88, Sarma Chowk, Khora  659401",Bank Clerk,1,0.593
P-0043,Aishani Luthra,39,Female,"87, Golla Road, Pallavaram 756551",Unemployed,0,0.53
P-0044,Omya Sabharwal,45,Female,"68/071, Krishnan Path, Bhiwandi-808760",Student,0,0.167
P-0045,Yochana Pathak,18,Female,"H.No. 348, Mani Street, Shivpuri-093248",Farmer,0,0.235
P-0046,Tanvi Chander,45,Female,"12, Manne Chowk, Vijayanagaram-737826",Software Engineer,0,0.32
P-0047,Yashoda Deshpande,53,Female,"58, Agate Road, Bihar Sharif 278755",Auto Driver,1,0.292
P-0048,Vasatika Nagy,43,Female,"63/60, Solanki Path, Kharagpur-702895",Farmer,0,0.138
