phone_id,number,owner_person_id,carrier
PH-0001,9956191734,P-0001,BSNL
PH-0002,9480968571,P-0002,Airtel
PH-0003,9289086333,P-0003,Airtel
PH-0004,9736212983,P-0004,Vi (Vodafone Idea)
PH-0005,9965661638,P-0005,Vi (Vodafone Idea)
PH-0006,9735185398,P-0006,Jio
PH-0007,9855326778,P-0007,Vi (Vodafone Idea)
PH-0008,9709511014,P-0008,Airtel
PH-0009,9704633564,P-0009,Airtel
PH-0010,9998396384,P-0010,BSNL
PH-0011,9682101860,P-0011,Vi (Vodafone Idea)
PH-0012,9288502642,P-0012,BSNL
PH-0013,9140763261,P-0013,Jio
PH-0014,9160309911,P-0014,Airtel
PH-0015,9746030501,P-0015,Airtel
PH-0016,9121397518,P-0016,BSNL
PH-0017,9100733897,P-0017,Vi (Vodafone Idea)
PH-0018,9759422189,P-0018,Airtel
PH-0019,9965914172,P-0019,Airtel
PH-0020,9465887237,P-0020,Airtel
PH-0021,9961596686,P-0021,Vi (Vodafone Idea)
PH-0022,9163947730,P-0022,Jio
PH-0023,9258604568,P-0023,Airtel
PH-0024,9931469703,P-0024,Jio
PH-0025,9665104817,P-0025,Vi (Vodafone Idea)
PH-0026,9177880216,P-0026,Vi (Vodafone Idea)
PH-0027,9856491925,P-0027,BSNL
PH-0028,9729230605,P-0028,Jio
PH-0029,9461379699,P-0029,Vi (Vodafone Idea)
PH-0030,9446392556,P-0030,Airtel
PH-0031,9269118504,P-0031,BSNL
PH-0032,9950234433,P-0032,BSNL
PH-0033,9797052007,P-0033,Vi (Vodafone Idea)
PH-0034,9287048690,P-0034,Vi (Vodafone Idea)
PH-0035,9339699130,P-0035,Airtel
PH-0036,9506286844,P-0036,Vi (Vodafone Idea)
PH-0037,9888121101,P-0037,Vi (Vodafone Idea)
PH-0038,9236739271,P-0038,Airtel
PH-0039,9882576281,P-0039,Jio
PH-0040,9853775825,P-0040,BSNL
PH-0041,9927672827,P-0041,Jio
PH-0042,9295508799,P-0042,Vi (Vodafone Idea)
PH-0043,9968449816,P-0043,Airtel
PH-0044,9786815488,P-0044,Jio
PH-0045,9632774653,P-0045,Airtel
PH-0046,9455589390,P-0046,Jio
PH-0047,9355546183,P-0047,Vi (Vodafone Idea)
PH-0048,9443080569,P-0048,Airtel
PH-0049,9783100341,P-0049,Jio
PH-0050,9982252644,P-0050,Vi (Vodafone Idea)
PH-0051,9579565240,P-0051,Jio
PH-0052,9384769690,P-0052,Airtel
PH-0053,9367942460,P-0053,Jio
PH-0054,9476326283,P-0054,Vi (Vodafone Idea)
PH-0055,9945056299,P-0055,Jio
PH-0056,9873538202,P-0056,Jio
PH-0057,9151697938,P-0057,BSNL
PH-0058,9570535289,P-0058,BSNL
PH-0059,9278604541,P-0059,BSNL
PH-0060,9629442753,P-0060,BSNL
PH-0061,9477131597,P-0061,BSNL
PH-0062,9208908082,P-0062,BSNL
PH-0063,9946892378,P-0063,Airtel
PH-0064,9274651099,P-0064,BSNL
PH-0065,9179144854,P-0065,Jio
PH-0066,9416655712,P-0066,Jio
PH-0067,9442219677,P-0067,Vi (Vodafone Idea)
PH-0068,9212447665,P-0068,Jio
PH-0069,9467013765,P-0069,Airtel
PH-0070,9503144836,P-0070,Airtel
