account_id,account_number,owner_person_id,bank,account_type
A-0001,XDJH7884437066187,P-0161,PNB,Current
A-0002,ULNI6726368154185,P-0056,PNB,Savings
A-0003,QXTS0027729108450,P-0222,Axis,Current
A-0004,WOUR6043566050337,P-0183,PNB,Current
A-0005,INSQ3306773067182,P-0140,PNB,Savings
A-0006,FXFN6794190878865,P-0648,ICICI,Current
A-0007,GQYK9067396342898,P-0208,ICICI,Savings
A-0008,YPMA5504922170486,P-0515,BOB,Savings
A-0009,YWYC8670663201629,P-0288,HDFC,Savings
A-0010,VAPG9928919827182,P-0477,PNB,Current
A-0011,NWKY3371708649426,P-0176,ICICI,Savings
A-0012,SJFA3983135490145,P-0303,Axis,Savings
A-0013,YSTN7069219587305,P-0627,HDFC,Savings
A-0014,ITQF4388430217816,P-0089,PNB,Current
A-0015,PQAM6431589016492,P-0222,Axis,Current
A-0016,UQCK0370170926407,P-0474,ICICI,Savings
A-0017,BGAQ8081726282968,P-0176,BOB,Savings
A-0018,FUYJ4850072889592,P-0254,ICICI,Current
A-0019,UUOU4116806919612,P-0594,HDFC,Savings
A-0020,ZPMM2080820391702,P-0588,SBI,Current
A-0021,NGVI4435962458701,P-0472,SBI,Current
A-0022,FAXX4242536909123,P-0517,SBI,Current
A-0023,OLHA2849760396702,P-0544,PNB,Current
A-0024,YJHM5240553648187,P-0101,PNB,Current
A-0025,ZLYI0364882159773,P-0247,SBI,Savings
A-0026,QLIW6623236066799,P-0417,HDFC,Savings
A-0027,QNJS1259497220429,P-0368,ICICI,Savings
A-0028,QMFF6992066617996,P-0093,SBI,Current
A-0029,FGLM9992998335876,P-0313,HDFC,Current
A-0030,RQOW7792560413482,P-0585,BOB,Savings
A-0031,BQZI9315398391226,P-0466,PNB,Savings
A-0032,AAAC4407629143049,P-0028,HDFC,Current
A-0033,CGJD0389752872099,P-0642,PNB,Savings
A-0034,RNUK6422405920823,P-0643,SBI,Current
A-0035,KHAS7669194896298,P-0341,Axis,Savings
A-0036,BULM8201753079661,P-0501,PNB,Current
A-0037,QNSK7240434741253,P-0628,Axis,Savings
A-0038,CVGP9561007773217,P-0083,Axis,Current
A-0039,LBHN1920259991938,P-0057,Axis,Current
A-0040,PGGO0342444748904,P-0053,SBI,Current
A-0041,PNAO8623510765191,P-0375,PNB,Savings
A-0042,ZPUB8517328951456,P-0375,ICICI,Savings
A-0043,GIBT1858055811574,P-0573,BOB,Savings
A-0044,IWZT6539160770040,P-0575,BOB,Savings
A-0045,SHZA4541840398221,P-0142,ICICI,Savings
A-0046,ZRAV3966203858864,P-0553,SBI,Current
A-0047,UWXA7880265295164,P-0595,BOB,Savings
A-0048,WNWT3335623039744,P-0231,ICICI,Current
A-0049,AQQB6708987092019,P-0274,Axis,Current
A-0050,WTCR4311326611584,P-0284,SBI,Savings
A-0051,RKRB5263211960472,P-0382,ICICI,Current
A-0052,EAKH9707745447082,P-0498,Axis,Savings
A-0053,UGCO1461995394676,P-0482,BOB,Current
A-0054,NENF3596053026184,P-0463,Axis,Current
A-0055,AELP8703686050630,P-0068,HDFC,Current
A-0056,MMHN0502816409891,P-0090,SBI,Current
A-0057,AGSB9120302520945,P-0184,ICICI,Savings
A-0058,FWGY7597953192600,P-0112,HDFC,Current
A-0059,TWRN0275745449205,P-0115,BOB,Savings
A-0060,JXRT4453811808189,P-0509,HDFC,Savings
A-0061,MLUL8344566229521,P-0534,BOB,Savings
A-0062,PTPB5660361624860,P-0301,PNB,Savings
A-0063,OAJO2660235158501,P-0486,ICICI,Current
A-0064,LGVA1731671560587,P-0337,BOB,Savings
A-0065,SBLE2441339547940,P-0299,HDFC,Savings
A-0066,WMIX5315790571918,P-0023,HDFC,Current
A-0067,USRM6469365618335,P-0422,Axis,Current
A-0068,WTPI8768057023771,P-0335,PNB,Current
A-0069,RIHA1922095673332,P-0469,ICICI,Savings
A-0070,WWTW7323964402825,P-0314,HDFC,Current
A-0071,HYFM7699242773923,P-0233,PNB,Current
A-0072,XRKU2023209140169,P-0296,SBI,Savings
A-0073,GHYZ2844234719982,P-0362,ICICI,Current
A-0074,TAZV7551545260756,P-0283,Axis,Savings
A-0075,SWTT1383100643322,P-0549,ICICI,Savings
A-0076,YYNU2277773316806,P-0180,BOB,Savings
A-0077,MJXP0703850360595,P-0166,HDFC,Savings
A-0078,FTQZ4241074027406,P-0043,ICICI,Savings
A-0079,PZYL8267625906200,P-0452,ICICI,Current
A-0080,HWMG8564614974597,P-0189,HDFC,Savings
A-0081,USGD8399798491498,P-0325,ICICI,Savings
A-0082,NBSX9550493266432,P-0378,PNB,Savings
A-0083,EXHS4612128981159,P-0547,ICICI,Savings
A-0084,JRKH4001276223984,P-0026,PNB,Current
A-0085,PJFU2567871888223,P-0149,PNB,Current
A-0086,OQUR7058416806134,P-0160,SBI,Current
A-0087,SULM4799846058679,P-0303,PNB,Current
A-0088,ISYZ6383097236108,P-0059,BOB,Savings
A-0089,BSEN1662016555786,P-0579,BOB,Current
A-0090,IKPV8655575124764,P-0347,BOB,Savings
A-0091,AABM8758682405166,P-0491,SBI,Savings
A-0092,LIKD2244418997402,P-0565,SBI,Current
A-0093,ZGGQ6860835701703,P-0026,PNB,Savings
A-0094,NGBT4423860205089,P-0457,ICICI,Savings
A-0095,XRHA9413490961979,P-0335,SBI,Savings
A-0096,PSPE4528413569480,P-0598,Axis,Savings
A-0097,JKBO3567480957394,P-0285,HDFC,Savings
A-0098,VAKS8026029442031,P-0086,Axis,Current
