phone_id,number,owner_person_id,carrier
PH-0001,2743811995,P-0595,Airtel
PH-0002,+917660144485,P-0176,Vi
PH-0003,04510173973,P-0578,Jio
PH-0004,6417899698,P-0030,Jio
PH-0005,6091919113,P-0047,Vi
PH-0006,09966057798,P-0216,BSNL
PH-0007,+916603920514,P-0633,Jio
PH-0008,00745553470,P-0470,Vi
PH-0009,07423885652,P-0310,BSNL
PH-0010,01559835411,P-0251,BSNL
PH-0011,6597263475,P-0305,BSNL
PH-0012,07522501394,P-0466,Jio
PH-0013,8488269131,P-0162,BSNL
PH-0014,+919642585626,P-0426,BSNL
PH-0015,+914991537038,P-0476,Airtel
PH-0016,+914073333732,P-0349,Airtel
PH-0017,+914309776889,P-0321,Vi
PH-0018,+916289696454,P-0354,BSNL
PH-0019,05535851253,P-0134,Vi
PH-0020,9218785193,P-0528,Jio
PH-0021,5837490797,P-0327,Airtel
PH-0022,09612087805,P-0478,Jio
PH-0023,02151494097,P-0274,BSNL
PH-0024,02637484539,P-0254,Airtel
PH-0025,6289509059,P-0100,Jio
PH-0026,+911918623392,P-0298,BSNL
PH-0027,+910715116966,P-0517,BSNL
PH-0028,07252145264,P-0255,Airtel
PH-0029,01246335157,P-0336,Vi
PH-0030,+918409080512,P-0195,Airtel
PH-0031,+918005640995,P-0511,BSNL
PH-0032,+912397283512,P-0511,Vi
PH-0033,5927282709,P-0510,Jio
PH-0034,+918144152982,P-0093,BSNL
PH-0035,+917392957867,P-0518,BSNL
PH-0036,+918153523736,P-0247,Airtel
PH-0037,+915079181589,P-0598,Vi
PH-0038,8868345273,P-0050,Jio
PH-0039,06666170715,P-0289,BSNL
PH-0040,7964740803,P-0612,BSNL
PH-0041,+914998250800,P-0293,Jio
PH-0042,06358068828,P-0111,BSNL
PH-0043,00317235137,P-0138,Vi
PH-0044,+919900631403,P-0375,BSNL
PH-0045,5263560229,P-0375,Jio
PH-0046,+919469434606,P-0411,Jio
PH-0047,06437490607,P-0584,Airtel
PH-0048,+913111271285,P-0372,Vi
PH-0049,+914648449411,P-0076,BSNL
PH-0050,03187328077,P-0517,BSNL
PH-0051,+911306211369,P-0564,Vi
PH-0052,07279083350,P-0639,Jio
PH-0053,0254257306,P-0132,Jio
PH-0054,02481323570,P-0404,Vi
PH-0055,01398482285,P-0348,Vi
PH-0056,+911168809255,P-0148,Airtel
PH-0057,+912130609069,P-0617,BSNL
PH-0058,+913098107964,P-0426,Jio
PH-0059,9673794577,P-0047,Jio
PH-0060,+917853242642,P-0141,Vi
PH-0061,00642076836,P-0486,BSNL
PH-0062,+915366677767,P-0153,Airtel
PH-0063,05562833339,P-0336,Vi
PH-0064,+919578654362,P-0167,BSNL
PH-0065,01874960335,P-0632,Vi
PH-0066,2686270369,P-0608,Vi
PH-0067,2492693265,P-0520,BSNL
PH-0068,03275998011,P-0577,Vi
PH-0069,+910005155323,P-0487,Jio
PH-0070,01595977524,P-0378,Vi
PH-0071,01822261896,P-0113,BSNL
PH-0072,+918874312710,P-0598,Vi
PH-0073,+916767209579,P-0645,Jio
PH-0074,2707955151,P-0612,BSNL
PH-0075,+912946213541,P-0272,Airtel
PH-0076,09709962543,P-0053,BSNL
PH-0077,4807520344,P-0175,BSNL
PH-0078,06504715802,P-0152,Airtel
PH-0079,0904637660,P-0567,Jio
PH-0080,4655866525,P-0196,Jio
PH-0081,4837441715,P-0452,Vi
PH-0082,1021312512,P-0429,Airtel
PH-0083,3110059129,P-0423,Airtel
PH-0084,7519102312,P-0421,BSNL
PH-0085,+911063301658,P-0064,Airtel
PH-0086,+917379274907,P-0532,Airtel
PH-0087,+918012342893,P-0575,Vi
PH-0088,1132532694,P-0490,BSNL
PH-0089,6843645380,P-0322,Airtel
PH-0090,4421017509,P-0471,Vi
PH-0091,01701595919,P-0401,Vi
PH-0092,05757574758,P-0271,BSNL
PH-0093,3392056775,P-0197,Airtel
PH-0094,07772266025,P-0286,Vi
PH-0095,02650622923,P-0231,Vi
PH-0096,+910672453076,P-0296,Airtel
PH-0097,+914843379766,P-0501,Vi
PH-0098,+917051157942,P-0492,Vi
PH-0099,+918736704254,P-0574,Vi
PH-0100,9691928455,P-0295,Jio
PH-0101,2597107563,P-0588,BSNL
PH-0102,+915357485953,P-0539,Vi
PH-0103,+915939933797,P-0150,Vi
PH-0104,+915816295187,P-0044,Vi
PH-0105,09417634250,P-0081,Vi
PH-0106,03305597824,P-0453,Vi
PH-0107,07598339914,P-0491,Airtel
PH-0108,0388436604,P-0207,Vi
PH-0109,03240061572,P-0576,Vi
PH-0110,06829751474,P-0141,Jio
PH-0111,+919742925010,P-0631,Airtel
PH-0112,08752568065,P-0249,Jio
PH-0113,02590459908,P-0544,Airtel
PH-0114,+912711221823,P-0239,Jio
PH-0115,+915551651768,P-0103,BSNL
PH-0116,+918662813721,P-0339,BSNL
PH-0117,03308003700,P-0103,Airtel
PH-0118,+913228556608,P-0006,Airtel
PH-0119,07068103903,P-0417,BSNL
PH-0120,+919705195826,P-0489,Airtel
PH-0121,+912809448586,P-0295,Vi
PH-0122,+913945354614,P-0293,Jio
PH-0123,00798632106,P-0092,Airtel
PH-0124,+913394394570,P-0548,Jio
PH-0125,3943804032,P-0112,BSNL
PH-0126,03765769277,P-0181,Jio
PH-0127,9431910090,P-0059,BSNL
PH-0128,+914047692105,P-0191,Vi
PH-0129,+913651460401,P-0039,Jio
PH-0130,02473107201,P-0306,Jio
PH-0131,+913798440971,P-0344,Vi
PH-0132,2316600767,P-0466,BSNL
PH-0133,02090144734,P-0421,BSNL
PH-0134,+914337009687,P-0490,Airtel
PH-0135,+910451957782,P-0116,Vi
PH-0136,05882556296,P-0167,BSNL
PH-0137,07542786561,P-0264,Airtel
PH-0138,4255778205,P-0015,Vi
PH-0139,2958292361,P-0303,Airtel
PH-0140,01880819048,P-0180,BSNL
PH-0141,2357155868,P-0438,Vi
PH-0142,6395613723,P-0089,BSNL
PH-0143,0817214364,P-0098,Airtel
PH-0144,+918130004132,P-0144,BSNL
PH-0145,1147165609,P-0332,Airtel
PH-0146,05653469979,P-0007,Vi
PH-0147,0707550476,P-0393,Airtel
PH-0148,1699570607,P-0458,Vi
PH-0149,+917481131765,P-0338,Vi
PH-0150,+919705487396,P-0597,Jio
PH-0151,+910290871827,P-0268,Vi
PH-0152,09680491872,P-0242,Jio
PH-0153,04204956121,P-0122,BSNL
PH-0154,+917730626042,P-0315,Airtel
PH-0155,+915973711222,P-0416,Vi
PH-0156,9907756085,P-0121,Vi
PH-0157,8167046861,P-0377,Airtel
PH-0158,+911457683210,P-0225,Airtel
PH-0159,+911923785847,P-0490,Airtel
PH-0160,+912961803324,P-0466,Vi
PH-0161,+916050801849,P-0426,BSNL
PH-0162,0425373377,P-0551,Airtel
PH-0163,03126881228,P-0254,Jio
PH-0164,+911781923653,P-0539,BSNL
PH-0165,06060560356,P-0541,Vi
PH-0166,09327986239,P-0080,Jio
PH-0167,4716906181,P-0064,Airtel
PH-0168,2054647548,P-0587,Airtel
PH-0169,5478769899,P-0071,Vi
PH-0170,9275175889,P-0533,BSNL
PH-0171,1444498355,P-0120,Airtel
PH-0172,+919354358644,P-0598,BSNL
PH-0173,6392435885,P-0094,BSNL
PH-0174,+917982143395,P-0057,BSNL
PH-0175,+917536749785,P-0136,BSNL
PH-0176,+914914168601,P-0468,Jio
PH-0177,+914778948963,P-0573,BSNL
PH-0178,00679176651,P-0316,Jio
PH-0179,+912150014188,P-0406,Vi
PH-0180,02163090015,P-0004,Airtel
PH-0181,4463339994,P-0593,Jio
PH-0182,5320895326,P-0096,BSNL
PH-0183,+918902199471,P-0353,Jio
PH-0184,+913633792234,P-0180,Jio
PH-0185,+910346996733,P-0071,BSNL
PH-0186,+911677269608,P-0033,Vi
PH-0187,03768550789,P-0419,Airtel
PH-0188,07935219626,P-0139,BSNL
PH-0189,+913556434369,P-0384,BSNL
PH-0190,00931706955,P-0460,BSNL
PH-0191,00767616453,P-0385,Jio
PH-0192,05472239898,P-0553,Airtel
PH-0193,+910650312198,P-0357,Jio
PH-0194,+914184724264,P-0183,BSNL
PH-0195,+913642813190,P-0542,Airtel
PH-0196,2487623039,P-0229,Jio
PH-0197,1114281785,P-0066,Vi
PH-0198,2282305248,P-0475,BSNL
PH-0199,+918806220722,P-0545,BSNL
PH-0200,+919594737213,P-0236,Airtel
PH-0201,+919016204787,P-0472,Vi
PH-0202,6886878599,P-0159,Vi
PH-0203,6486287203,P-0194,Jio
PH-0204,+919541966645,P-0618,BSNL
PH-0205,+915730362792,P-0630,Jio
PH-0206,4632037476,P-0247,Airtel
PH-0207,07537260321,P-0069,Jio
PH-0208,05057661945,P-0609,Jio
PH-0209,8707155348,P-0458,Jio
PH-0210,+910128400838,P-0251,Jio
PH-0211,00765975954,P-0412,BSNL
PH-0212,00891776808,P-0240,Airtel
PH-0213,9812657422,P-0058,Airtel
PH-0214,+911964630040,P-0516,Vi
PH-0215,+913693626894,P-0240,Vi
PH-0216,+910120471372,P-0592,Vi
PH-0217,7117595749,P-0243,Vi
PH-0218,8558298493,P-0147,Airtel
PH-0219,+910674584760,P-0424,Vi
PH-0220,4412833372,P-0282,Jio
PH-0221,+918856669541,P-0571,Airtel
PH-0222,+912971506662,P-0642,BSNL
PH-0223,07055143776,P-0570,BSNL
PH-0224,3663439252,P-0049,Vi
PH-0225,5961111028,P-0391,Vi
PH-0226,07120072024,P-0427,BSNL
PH-0227,05910245109,P-0283,Vi
PH-0228,+910903267149,P-0386,Airtel
PH-0229,09819421794,P-0551,BSNL
PH-0230,+918179340652,P-0247,Airtel
PH-0231,7758446634,P-0308,Airtel
PH-0232,5337220109,P-0475,Jio
PH-0233,+912172214559,P-0576,BSNL
PH-0234,+917661894370,P-0427,Airtel
PH-0235,02635100462,P-0398,Airtel
PH-0236,07657256592,P-0262,Airtel
PH-0237,+912461752023,P-0223,Jio
PH-0238,9743260055,P-0461,Vi
PH-0239,5501783325,P-0095,Airtel
PH-0240,8486899936,P-0501,Vi
PH-0241,0798487045,P-0387,Jio
PH-0242,+916917679935,P-0075,Airtel
PH-0243,3744039464,P-0602,Airtel
PH-0244,+918303736060,P-0491,Airtel
PH-0245,+914886084907,P-0341,Vi
PH-0246,3884136852,P-0016,Airtel
PH-0247,3061537012,P-0195,Jio
